"Table 18a - Full-time Academic Staff by Cost Centre, Principal Source of Salary, Grade(#9) and Gender 2000/01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wholly Institutionally Financed,,,,,,,,,,,,,,,,,All Other Sources of Finance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,,,,,
,,,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Academic departments ,,1405,10015, ,4575,15065, ,13780,23630, ,2480,4020, ,1835,2880, ,79680,,160,890, ,750,1605, ,1985,2315, ,10570,15115, ,1050,1390, ,35830,,1
2,,,Clinical medicine,115,955,,265,820,,345,565,,425,325,,85,165,,4065,,80,470,,325,920,,550,970,,3440,2380,,325,535,,9985,,2
3,,,Clinical dentistry,5,100,,40,135,,75,105,,10,20,,5,25,,525,,0,15,,10,30,,15,20,,90,80,,15,5,,285,,3
4,,,Veterinary science,10,75,,30,95,,65,95,,30,25,,15,15,,450,,5,10,,5,15,,20,20,,185,180,,0,5,,450,,4
5,,,Anatomy & physiology,15,110,,60,190,,75,145,,20,25,,20,20,,680,,0,5,,10,10,,25,25,,325,390,,10,10,,810,,5
6,,,Nursing & paramedical studies,110,75,,515,260,,1980,815,,120,30,,345,150,,4395,,20,15,,215,85,,810,305,,185,40,,425,225,,2325,,6
7,,,Health & community studies,50,70,,175,180,,575,400,,60,25,,45,40,,1625,,0,15,,35,25,,105,65,,155,75,,10,10,,495,,7
8,,,Psychology & behavourial sciences,75,260,,155,335,,505,580,,130,80,,45,55,,2215,,10,10,,10,10,,20,10,,425,265,,10,5,,775,,8
9,,,Pharmacy,5,75,,20,120,,65,165,,15,30,,15,20,,540,,0,5,,5,5,,10,15,,115,155,,10,5,,325,,9
10,,,Pharmacology,5,35,,10,65,,10,35,,15,10,,0,5,,190,,0,5,,0,10,,5,10,,145,185,,5,5,,370,,10
11,,,Biosciences,75,785,,205,1115,,515,1195,,340,440,,70,135,,4875,,10,60,,25,80,,70,130,,2120,2565,,35,85,,5180,,11
12,,,Chemistry,15,375,,35,485,,100,515,,60,240,,15,55,,1895,,0,20,,5,15,,10,45,,415,1235,,10,20,,1780,,12
13,,,Physics,15,415,,35,490,,40,420,,30,170,,5,50,,1675,,0,15,,0,60,,10,45,,250,1435,,5,40,,1855,,13
14,,,Agriculture & forestry,5,55,,15,115,,145,390,,100,265,,10,45,,1145,,0,0,,0,5,,0,5,,100,125,,10,15,,260,,14
15,,,"Earth, marine & environmental sciences",10,280,,55,480,,190,605,,90,195,,15,80,,2000,,0,15,,5,15,,5,30,,260,485,,5,20,,840,,15
16,,,General sciences,0,5,,0,5,,5,10,,0,5,,0,5,,35,,0,0,,0,0,,0,0,,5,5,,0,5,,15,,16
17,,,General engineering,5,195,,30,390,,120,715,,40,220,,10,130,,1855,,0,5,,5,20,,10,45,,115,515,,15,65,,795,,17
18,,,Chemical engineering,5,95,,15,100,,25,105,,10,35,,0,10,,390,,0,5,,0,5,,0,5,,60,205,,0,5,,290,,18
19,,,"Mineral, metallurgy & materials engineering",5,110,,20,140,,35,180,,10,80,,5,5,,595,,0,10,,0,15,,5,15,,105,385,,0,10,,550,,19
20,,,Civil engineering,0,180,,10,255,,50,495,,25,65,,0,40,,1125,,0,5,,5,10,,0,15,,75,270,,0,10,,385,,20
21,,,"Electrical, electronic & computer engineering",5,350,,30,565,,80,805,,30,200,,5,65,,2140,,0,15,,0,35,,15,45,,155,970,,5,40,,1285,,21
22,,,"Mechanical, aero & production engineering",5,290,,30,585,,80,775,,35,260,,5,100,,2160,,0,10,,0,10,,5,45,,150,720,,15,65,,1020,,22
23,,,Other technologies,0,5,,5,15,,5,20,,0,0,,0,0,,50,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,23
24,,,"Architecture, built environment & planning",15,180,,70,390,,180,665,,40,80,,25,85,,1725,,0,5,,0,10,,10,20,,90,170,,10,20,,335,,24
25,,,Mathematics,10,500,,70,595,,190,795,,25,95,,10,60,,2345,,0,10,,0,20,,10,35,,105,380,,10,20,,595,,25
26,,,Information technology & systems sciences,20,125,,70,280,,285,720,,35,90,,20,80,,1720,,0,5,,5,5,,10,25,,85,180,,5,20,,340,,26
27,,,Catering & hospitality management,5,25,,30,55,,165,195,,5,5,,15,20,,520,,0,0,,0,0,,5,5,,10,5,,0,0,,25,,27
28,,,Business & management studies,105,745,,425,1295,,1290,2495,,180,200,,150,320,,7210,,5,30,,5,45,,40,55,,170,215,,30,35,,630,,28
29,,,Geography,20,215,,65,260,,160,450,,50,80,,10,35,,1345,,0,5,,0,5,,5,10,,115,200,,5,5,,345,,29
30,,,Social studies,230,1215,,520,1450,,1455,2185,,175,145,,120,190,,7690,,15,70,,30,65,,90,100,,565,450,,35,40,,1460,,30
31,,,"Librarianship, communication & media studies",20,70,,50,125,,300,445,,10,5,,20,40,,1085,,0,0,,0,0,,0,5,,15,10,,0,0,,40,,31
32,,,Language based studies,90,390,,230,490,,600,660,,40,45,,150,110,,2795,,0,10,,0,5,,15,25,,65,60,,10,5,,195,,32
33,,,Humanities,105,625,,260,895,,675,1225,,60,110,,70,110,,4140,,5,20,,10,15,,35,55,,120,160,,5,15,,440,,33
34,,,Design & creative arts,45,210,,215,615,,810,1435,,55,65,,120,215,,3790,,0,5,,5,10,,10,10,,40,50,,0,10,,140,,34
35,,,Education,100,275,,485,675,,1355,1210,,105,85,,95,135,,4520,,0,10,,20,20,,40,50,,150,65,,10,10,,375,,35
36,,,"French, Spanish & German modern languages",45,140,,130,240,,435,330,,10,15,,160,60,,1570,,0,0,,0,0,,10,5,,5,10,,5,5,,40,,36
37,,,Other modern languages,15,60,,35,85,,150,120,,5,5,,50,15,,540,,0,5,,0,0,,5,5,,5,10,,0,0,,30,,37
38,,,Archaeology,5,45,,15,55,,45,70,,15,35,,5,10,,295,,0,0,,0,0,,0,5,,35,50,,0,0,,95,,38
39,,,Sports science & leisure studies,10,45,,30,65,,195,340,,20,20,,10,40,,770,,0,5,,0,0,,5,10,,20,20,,0,0,,60,,39
40,,,Computer software engineering,15,230,,90,500,,325,1060,,40,185,,30,110,,2585,,0,5,,5,10,,5,35,,85,415,,5,20,,585,,40
41,,,Continuing education,5,25,,40,70,,80,90,,10,5,,45,30,,405,,0,0,,5,0,,5,5,,10,0,,5,5,,30,,41
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
42,,Academic services ,,5,20, ,20,35, ,75,65, ,40,35, ,65,65, ,425,,0,0, ,0,0, ,10,15, ,35,30, ,0,10, ,105,,42
43,,,Central libraries & information services,0,0,,5,10,,35,30,,10,10,,35,25,,160,,0,0,,0,0,,0,0,,10,10,,0,5,,30,,43
44,,,Central computers & computer networks,0,0,,0,0,,5,5,,5,10,,10,25,,60,,0,0,,0,0,,0,0,,5,5,,0,0,,10,,44
45,,,Other academic services,5,15,,15,25,,35,30,,25,15,,20,20,,210,,0,0,,0,0,,10,15,,20,10,,0,10,,65,,45
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
46,,Administration & central services ,,0,35, ,25,30, ,40,30, ,45,50, ,20,50, ,325,,0,0, ,0,0, ,5,0, ,10,15, ,0,0, ,35,,46
47,,,Central administration & services,0,30,,20,25,,20,30,,45,50,,15,45,,280,,0,0,,0,0,,5,0,,10,10,,0,0,,30,,47
48,,,Staff & student facilities,0,0,,0,5,,20,5,,0,0,,5,10,,45,,0,0,,0,0,,0,0,,0,0,,0,0,,5,,48
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
49,,Premises,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,49
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
50,,Residences & catering operations,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Total academic staff in departmental cost centres,,1415,10065, ,4615,15135, ,13895,23725, ,2565,4105, ,1920,2995,0,80435,,160,895, ,750,1605, ,2000,2330, ,10615,15160, ,1050,1405, ,35970,,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
